cluster,gene,logFC,pval_adj,pubmed_count,chembl_max_phase,literature_score,chembl_score,logfc_norm,priority_score
0,CD3D,3.3621883392333984,7.841473217643093e-182,1,4,0.5,1.0,0.21409154848200954,0.5339203140495135
0,RPS6,0.8726935386657715,2.0519514140387252e-184,4,4,0.8908022159610753,1.0,0.011826608624582801,0.4899430278928165
0,RPL3,0.8691074252128601,3.2713187026362266e-164,2,4,0.7168328495150414,1.0,0.011535246288051854,0.4643541667633742
0,RPS27A,1.321449875831604,1.7799545523379426e-158,1,4,0.5,1.0,0.04828688704203135,0.45101798332952436
0,RPS3,0.8860445618629456,5.4894002887886984e-185,1,4,0.5,1.0,0.012911344332163231,0.43333021197459026
0,RPS25,1.177513837814331,4.2139767708629887e-200,0,4,0.16969319652871695,1.0,0.036592460499649364,0.3968630960418972
0,RPL31,1.1346255540847778,8.0638393998484245e-165,0,4,0.16969319652871695,1.0,0.033107899645307186,0.3951208156147261
0,RPL9,1.1089847087860107,2.980250198341526e-153,0,4,0.16969319652871695,1.0,0.031024648042987636,0.3940791898135663
0,RPS12,1.0511815547943115,1.015072059267138e-224,0,4,0.16969319652871695,1.0,0.02632829299816696,0.391731012291156
0,RPS27,1.0253355503082275,1.7354287773072582e-187,0,4,0.16969319652871695,1.0,0.024228372748588373,0.3906810521663667
0,RPL30,1.0177593231201172,1.7635331647663935e-160,0,4,0.16969319652871695,1.0,0.023612824109482986,0.390373277846814
0,RPS15A,0.9595624208450317,4.4496204435983385e-157,0,4,0.16969319652871695,1.0,0.018884478046709622,0.38800910481542733
0,RPS14,0.7744477391242981,2.515284227975018e-168,0,4,0.16969319652871695,1.0,0.003844394429570224,0.38048906300685764
0,LDHB,2.764416456222534,1.183658967246917e-228,7,0,0.9599059124084421,0.0,0.16552414679951355,0.22314919657055823
0,TPT1,0.9335272908210754,2.8480035010117186e-162,2,0,0.7168328495150414,0.0,0.016769191841944257,0.1132220599233031
1,LGALS1,4.898149013519287,5.311712239115251e-268,3,2,0.8303068034712832,0.41569598164681415,0.3388843350895462,0.43792737266075366
1,CTSS,4.120774269104004,7.797817684845876e-258,8,2,0.9690940771385727,0.41569598164681415,0.27572467077131235,0.4266453070129227
1,S100A9,7.194859027862549,6.428435659659939e-278,26,0,0.9974319123535083,0.0,0.5254860154044315,0.4086183429032749
1,CST3,6.544107913970947,5.1623282479160245e-292,5,0,0.9252979682237011,0.0,0.4726141898101676,0.37163277438630404
1,AIF1,5.8506059646606445,5.495416618539653e-284,3,0,0.8303068034712832,0.0,0.41626897067724417,0.3295676195465496
1,TYROBP,6.211938381195068,3.713805805910957e-300,2,0,0.7168328495150414,0.0,0.4456262842503474,0.3276506061275047
1,FCER1G,5.3294172286987305,2.2457098517690024e-250,2,0,0.7168328495150414,0.0,0.373923749345724,0.291799338675193
1,LYZ,5.875683307647705,4.737658381815464e-290,1,0,0.5,0.0,0.41830643919089816,0.28227867978694043
1,FTL,3.814206123352051,0.0,6,0,0.9463293275641318,0.0,0.25081681093220637,0.26380994060776664
1,FTH1,3.2342801094055176,1.0036017346916198e-306,15,0,0.9915358002936024,0.0,0.20369933942517304,0.24686269309820325
1,S100A4,3.0751750469207764,1.0782208442399292e-259,13,0,0.9885418205866677,0.0,0.19077246932801492,0.23996138576187703
1,LST1,5.983254909515381,5.495416618539653e-284,0,0,0.16969319652871695,0.0,0.42704635042797784,0.23834096138904415
1,S100A6,3.1645872592926025,3.4480512506033246e-271,5,0,0.9252979682237011,0.0,0.19803697767476194,0.23434416831860116
1,COTL1,3.6530978679656982,1.093889125196648e-252,1,0,0.5,0.0,0.23772718665228196,0.19198905351763235
